,ts,actual,forecast,forecast_lower,forecast_upper
3490,2015-12-15,87.79365539550781,91.13065745900664,80.14869542130266,102.11261949671062
3491,2015-12-16,88.74935150146484,91.0102823265855,80.04847269623103,101.97209195693996
3492,2015-12-17,87.1310043334961,91.14494596920547,79.96481518185095,102.32507675655998
3493,2015-12-18,85.95227813720703,91.1146058384107,79.88979050457243,102.33942117224896
3494,2015-12-21,86.33454895019531,91.3293883224183,80.11461211375861,102.54416453107798
3495,2015-12-22,87.88282775878906,91.85504186223292,80.86061636325684,102.84946736120901
3496,2015-12-23,88.2715072631836,91.74681766526739,80.6445167219207,102.84911860861408
3497,2015-12-24,88.08674621582031,91.3001583312902,79.97237825943996,102.62793840314045
3498,2015-12-25,,91.02445171746959,79.65040601664748,102.3984974182917
3499,2015-12-28,87.67896270751953,91.71634744597638,80.48283446145157,102.94986043050119
3500,2015-12-29,89.06156921386719,92.04807665319204,81.04334491315878,103.0528083932253
3501,2015-12-30,88.78121185302734,91.82102037916178,80.71881483954817,102.92322591877539
3502,2015-12-31,87.68531036376953,91.63928420643319,80.31318913806426,102.96537927480212
3503,2016-01-01,,91.17397412264094,79.8040705315396,102.54387771374229
3504,2016-01-04,86.62127685546875,91.64677677950824,80.4224608944208,102.8710926645957
3505,2016-01-05,86.55756378173828,91.86722887350257,80.87433923070927,102.86011851629587
3506,2016-01-06,86.12428283691406,91.58040259849759,80.61138657448292,102.54941862251225
3507,2016-01-07,84.65245056152344,91.25832300026433,80.07464901765468,102.44199698287397
3508,2016-01-08,83.86876678466797,90.93249262044388,79.70620824969961,102.15877699118815
3509,2016-01-11,84.8882064819336,90.38331999033525,79.17323643116495,101.59340354950555
3510,2016-01-12,84.67793273925781,90.76245259685757,79.76947542468594,101.7554297690292
3511,2016-01-13,83.57566833496094,90.73636320129648,79.76275433386263,101.70997206873034
3512,2016-01-14,84.68431854248047,91.44718098920876,80.25940555704528,102.63495642137224
3513,2016-01-15,82.84930419921875,91.21426930875313,79.98232511466175,102.44621350284451
3514,2016-01-18,,91.1111866287989,79.89634938332017,102.32602387427764
3515,2016-01-19,81.62596893310547,91.12248408387129,80.13409593175851,102.11087223598406
3516,2016-01-20,77.64373779296875,91.17564609128358,80.20781844644414,102.14347373612303
3517,2016-01-21,78.3127670288086,91.76234258936185,80.58037980127531,102.94430537744839
3518,2016-01-22,78.05152893066406,92.10505152157967,80.87900602543951,103.33109701771983
3519,2016-01-25,77.78392791748047,92.35774919785774,81.13521777977071,103.58028061594477
3520,2016-01-26,78.10887145996094,92.79286303900675,81.79903311145496,103.78669296655853
3521,2016-01-27,77.07030487060547,92.95866128899912,81.98497514949256,103.9323474285057
3522,2016-01-28,77.87313079833984,93.27804412337714,82.08735599054451,104.46873225620978
3523,2016-01-29,79.51060485839844,93.55442790871193,82.32694945248896,104.7819063649349
3524,2016-02-01,79.5361099243164,93.69286155777161,82.47962344775331,104.9060996677899
3525,2016-02-02,78.33187103271484,93.78213759472035,82.79547695937126,104.76879823006945
3526,2016-02-03,79.46601104736328,93.6861728205614,82.71986073386881,104.65248490725398
3527,2016-02-04,81.33289337158203,93.58663581921483,82.40264660678797,104.7706250316417
3528,2016-02-05,81.91907501220703,93.1302102528878,81.90218610492084,104.35823440085477
3529,2016-02-08,81.73239135742188,92.16199867458961,80.79371415449019,103.53028319468903
3530,2016-02-09,79.85934448242188,93.43006826345078,82.28191474991193,104.57822177698962
3531,2016-02-10,77.36193084716797,92.5990454225498,81.49071476531297,103.70737607978664
3532,2016-02-11,75.85575866699219,92.12235002556442,80.81394873871326,103.43075131241557
3533,2016-02-12,77.9090347290039,91.49001885656885,80.16801502300225,102.81202269013545
3534,2016-02-15,,92.23677565081111,81.01870055833928,103.45485074328295
3535,2016-02-16,79.00328063964844,92.07487519317449,81.0839240350527,103.06582635129628
3536,2016-02-17,81.16596984863281,91.36124295350605,80.39112904344908,102.33135686356302
3537,2016-02-18,85.25323486328125,90.38901597348064,79.20570456615411,101.57232738080717
3538,2016-02-19,85.65872955322266,89.51982430495178,78.29251536334208,100.74713324656149
3539,2016-02-22,86.10289001464844,88.31450211483971,77.10181073801498,99.52719349166445
3540,2016-02-23,85.2210693359375,88.199172702209,77.21330104075837,99.18504436365963
3541,2016-02-24,85.47852325439453,87.70122223682296,76.73578468547794,98.66665978816798
3542,2016-02-25,86.5727310180664,87.18428807201043,76.00151919813227,98.36705694588859
3543,2016-02-26,84.98290252685547,86.69525738704291,75.46877148282533,97.9217432912605
3544,2016-02-29,84.33924102783203,86.15746507647766,74.94557376653452,97.3693563864208
3545,2016-03-01,86.48907470703125,86.54987188080727,75.56523893416245,97.5345048274521
3546,2016-03-02,87.73133850097656,86.24857605601565,75.28417717815039,97.21297493388091
3547,2016-03-03,88.69683074951172,86.2477779734629,75.0653855698153,97.4301703771105
3548,2016-03-04,88.69683074951172,86.33047964938872,75.10431660464236,97.55664269413508
3549,2016-03-07,90.20947265625,86.5484223546408,75.3366600157446,97.76018469353701
3550,2016-03-08,89.5143051147461,87.01801935760886,76.03276228843097,98.00327642678675
3551,2016-03-09,90.37680053710938,86.5240965342441,75.55897296963715,97.48922009885104
3552,2016-03-10,90.23519897460938,85.72460237254516,74.54164092813873,96.9075638169516
3553,2016-03-11,91.6319580078125,84.63274766917601,73.40548797575092,95.86000736260111
3554,2016-03-14,91.9022979736328,84.09510570817328,72.88162239911557,95.30858901723099
3555,2016-03-15,92.0181655883789,84.5167940316599,73.52220652579095,95.51138153752885
3556,2016-03-16,93.1960678100586,84.7055492744153,73.72985356467655,95.68124498415406
3557,2016-03-17,94.644287109375,85.42109153902842,74.23052148835761,96.61166158969924
3558,2016-03-18,94.6764907836914,86.4431575016428,75.19959418339845,97.68672081988716
3559,2016-03-21,95.66769409179688,87.21914060329117,75.9995999947394,98.43868121184293
3560,2016-03-22,95.32658386230467,88.136947335973,77.13461400894155,99.13928066300446
3561,2016-03-23,93.58869171142578,89.48965440588933,78.39381158645946,100.58549722531919
3562,2016-03-24,95.23001098632812,90.04693202774412,78.73082296586783,101.36304108962041
3563,2016-03-25,,90.44695840540788,79.08518685700179,101.80872995381398
3564,2016-03-28,95.51968383789062,90.83885587668028,79.49237629372263,102.18533545963794
3565,2016-03-29,96.1182861328125,91.31002711122201,80.19285727668324,102.42719694576078
3566,2016-03-30,95.52608489990234,91.39640193130597,80.30026095217568,102.49254291043627
3567,2016-03-31,97.48284149169922,90.89479004882779,79.7089411370721,102.08063896058347
3568,2016-04-01,98.17156219482422,91.68218805653908,80.45196709341971,102.91240901965844
3569,2016-04-04,97.88191223144533,92.08703632655794,80.86048454217004,103.31358811094583
3570,2016-04-05,96.54954528808594,92.98492699377057,81.98718557859253,103.98266840894861
3571,2016-04-06,96.5624008178711,93.00383764506147,82.02769065595102,103.97998463417191
3572,2016-04-07,95.42313385009766,93.48543250735241,82.2937722383024,104.67709277640243
3573,2016-04-08,96.1311264038086,93.60939521472424,82.37884092480722,104.83994950464127
3574,2016-04-11,96.0667953491211,93.82883859484177,82.61333584277952,105.04434134690402
3575,2016-04-12,96.3114013671875,94.28873636886384,83.3004418516428,105.27703088608487
3576,2016-04-13,97.34125518798828,94.53721565268961,83.56952962600879,105.50490167937043
3577,2016-04-14,97.29615783691406,94.91427623162896,83.73025671619824,106.09829574705968
3578,2016-04-15,97.6566390991211,95.21904357657131,83.99128405308637,106.44680310005624
